Expérimentateur;Bande de fréquences;Fréquences attribuées (limite basse);Fréquences attribuées (limite haute);Numéro de la décision d'autorisation de l'Arcep;Lien de la décision d'autorisation de l'Arcep;Latitude;Longitude;Code INSEE;Commune;Département;Région;Début;Fin;Description;Techno - Massive MIMO;Techno - Beamforming/beamtracking;Techno - Duplexage temporel (mode TDD);Techno - Mode de fonctionnement NSA (Non Stand Alone);Techno - Mode de fonctionnement SA (Stand Alone);Techno - Synchronisation de réseaux;Techno - Network slicing;Techno - Small cells;Techno - Accès dynamique au spectre;Techno - 5G, 6G…;Usage - Mobilité connectée;Usage - Internet des objets;Usage - Ville intelligente;Usage - Réalité virtuelle;Usage - Télémédecine;Usage - Industrie du futur;Usage - Technique ou R&D;Usage - Autre
Haropa Port;2,6 GHz TDD;2595;2615;2022-0483;https://www.arcep.fr/uploads/tx_gsavis/22-0483.pdf;49,4783333333333;0,126111111111111;76351;Le Havre;Seine-Maritime;Normandie;2022-03-08;2024-12-31;La Communauté Urbaine et le port du Havre, Siemens, EDF et Nokia, s’unissent pour explorer et tester ensemble dans des contextes portuaires et industriels, des applications innovantes de la 5G en matière d’énergie et de logistique.;1;0;1;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0
SNCF Réseau;2,6 GHz TDD;2575;2595;2022-1004;https://www.arcep.fr/uploads/tx_gsavis/22-1004.pdf;47,2919444444444;-1,48444444444444;44026;Carquefou;Loire-Atlantique;Pays de la Loire;2022-05-12;2025-12-31;La SNCF explore avec son partenaire Stellantis les possibilités offertes par la Mobilité Autonome dans le cadre d'une des expérimentations du projet collaboratif SAM (Sécurité et Acceptabilité de la Mobilité autonome), financé par l'ADEME ( (Agence de l'Environnement et de la Maîtrise de l'Energie). Une plateforme d'innovation ouverte a ainsi été conçue à Carquefou sur une ancienne voie ferrée reconvertie pour y tester les briques technologiques et servicielles de futurs systèmes de transport public autonome.;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
SNCF;26 GHz;26500;27500;2022-0583;https://www.arcep.fr/uploads/tx_gsavis/22-0583.pdf;47,2952777777778;-1,48527777777778;44109;Nantes;Loire-Atlantique;Pays de la Loire;2022-03-15;2025-03-15;Expérimentattion dans le cadre du projet collaboratif SAM (Sécurité et Acceptabilité de la mobilité autonome). Parmi les technologies testées figure la connectivité des véhicules autonomes entre eux, mais également avec des éléments d'infrastructure comme par exemple un centre de supervision.;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
CEA;2,6 GHz TDD;2575;2615;2022-0778;https://www.arcep.fr/uploads/tx_gsavis/22-0778.pdf;48,71272;2,194639;91477;Palaiseau;Essonne;Île-de-France;2022-04-01;2025-04-01;Le projet « PI5G-Plateformes Immersives 5G » a pour ambition d’accélérer le développement de produits/services combinant les technologies immersives (eXtended Reality) et la 5G pour l’industrie 4.0.;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
NTT;3,8 GHz;3900;4000;2022-0903;https://www.arcep.fr/uploads/tx_gsavis/22-0903.pdf;43,7925833;1,821388;82137;Parisot;Tarn-et-Garonne;Occitanie;2022-05-01;2025-04-01;Les expérimentation menées au sein du laboratoire NTT P5G permettent de valider la compatibilité de différents équipements 5G et d'évaluer leurs capacités à répondre aux cas d'usages des clients de NTT.;0;0;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;0
Transatel;3,8 GHz;3900;4000;2022-1100;https://www.arcep.fr/uploads/tx_gsavis/22-1100.pdf;48,8850622;2,2476111;92062;Puteaux;Hauts-de-Seine;Île-de-France;2022-05-24;2025-05-24;Expérimentation pour tester des terminaux dans un contexte d'hybridation d'un réseau. Les utilisateurs (B2B) viendraient tester le service en se déplaçant entre la zone de couverture privée et les zones non-couvertes par le réseau privé.;0;0;1;0;1;0;0;0;0;0;1;1;1;0;1;1;1;0
Alsatis;3,8 GHz;3900;4000;2022-1391;https://www.arcep.fr/uploads/tx_gsavis/22-1391.pdf;43,5680556;1,38724722;31555;Toulouse;Haute-Garonne;Occitanie;2022-07-05;2025-07-04;Expérimentation qui consiste à mettre en place un réseau 5G privé visant à développer, valider et supporter différents cas d’usage dans le cadre de projets Français et Européens, à destination de différents verticaux dans les secteurs de l'industrie, de la santé et des transports.;0;0;1;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0
Bouygues Telecom;3,8 GHz;3900;4000;2022-1484;https://www.arcep.fr/uploads/tx_gsavis/22-1484.pdf;48,7875;2,219722;92012;Boulogne-Billancourt;Hauts-de-Seine;Île-de-France;2022-07-12;2025-07-11;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
CEA;3,8 GHz;3900;4000;2022-1390;https://www.arcep.fr/uploads/tx_gsavis/22-1390.pdf;48,71272;2,194638;91477;Palaiseau;Essonne;Île-de-France;2022-07-05;2025-07-04;Expérimentation dans le cadre du projet « PI5G-Plateformes Immersives 5G » qui a pour ambition d’accélérer le développement de produits/services combinant les technologies immersives (eXtended Reality) et la 5G pour l’industrie 4.0.;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
Airbus Operations SAS;3,8 GHz;3900;4000;2022-2388;https://www.arcep.fr/uploads/tx_gsavis/22-2388.pdf;47,312245;-2,169842;44184;Saint-Nazaire;Loire-Atlantique;Pays de la Loire;2023-01-01;2025-12-31;Expérimentation de Airbus dans le cadre de sa transformation digitale, visant à développer son offre de connectivité sans fil dans le but d’assurer une continuité de service pour ses moyens de production en milieu industriel dit complexe (Hangar avec environment métallique dense).;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;0
